idx,id,yr,binned_senti_score_assets,binned_senti_score_economy,binned_senti_score_expenses,binned_senti_score_govt.policy,binned_senti_score_industry,binned_senti_score_innovation,binned_senti_score_liquidity,binned_senti_score_margins,binned_senti_score_merges_acquisitions,binned_indicators_ratio,binned_senti_score_pricing,binned_senti_score_product.portfolio,binned_senti_score_ratio,binned_senti_score_recent.trends,binned_senti_score_recognition_awards,binned_senti_score_revenue,binned_senti_score_stocks,binned_y_target1,binned_y_target6,binned_y_target12
93,532454,2013,"(5,10]","(5,10]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(10,15]","(5,10]","(0,5]","(15,20]","(10,15]","(15,20]","(5,10]","(5,10]","(0,5]","(5,10]","(5.28,10.5]","(5.28,10.5]","(5.28,10.5]"
94,532454,2014,"(10,15]","(10,15]","(0,5]","(10,15]","(0,5]","(5,10]","(0,5]","(5,10]","(5,10]","(0,5]",NA,"(0,5]","(10,15]","(5,10]","(5,10]","(0,5]","(10,15]","(10.5,15.6]","(10.5,15.6]","(10.5,15.6]"
95,532454,2015,"(5,10]","(5,10]","(0,5]","(5,10]","(0,5]","(5,10]","(5,10]","(5,10]","(0,5]","(0,5]",NA,"(0,5]","(5,10]","(10,15]","(0,5]","(0,5]","(15,20]","(15.6,20.8]","(15.6,20.8]","(15.6,20.8]"
96,526612,2013,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
97,526612,2010,"(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(10,15]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(5,10]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
98,526612,2011,"(0,5]","(0,5]","(0,5]","(10,15]","(0,5]","(10,15]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(10,15]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
99,500530,2010,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
100,500530,2011,"(0,5]","(15,20]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(10,15]","(5,10]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
101,500530,2012,"(5,10]","(10,15]","(0,5]","(10,15]","(10,15]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(5,10]","(5,10]","(10,15]","(0,5]","(10,15]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
102,500530,2013,"(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
103,500825,2010,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(10,15]","(10,15]","(0,5]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
104,500825,2011,"(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
105,500825,2012,"(10,15]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
106,500825,2013,"(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(5,10]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
107,500825,2014,"(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(10,15]","(5,10]","(5,10]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
108,500825,2015,"(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(5,10]","(5,10]","(5,10]","(5,10]","(5,10]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
109,532321,2010,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
110,532321,2011,"(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
111,532321,2012,"(0,5]","(0,5]","(0,5]","(15,20]","(10,15]","(10,15]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(10,15]",NA,"(0,5]","(5,10]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
112,532321,2013,"(0,5]","(0,5]","(0,5]","(10,15]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
113,532321,2014,"(0,5]","(0,5]","(0,5]","(15,20]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
114,532321,2015,"(0,5]","(5,10]","(0,5]",NA,"(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(10,15]","(0,5]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
115,526550,2011,"(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
116,526550,2012,"(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
117,526550,2013,"(0,5]","(5,10]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
118,526550,2015,"(0,5]","(0,5]","(0,5]","(10,15]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
119,519600,2010,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
120,519600,2011,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
121,519600,2012,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
122,519600,2013,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
123,519600,2014,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
124,519600,2015,"(0,5]","(0,5]","(0,5]","(10,15]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
125,532807,2010,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
126,532807,2012,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
127,532807,2013,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
128,532807,2014,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
129,532807,2015,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
130,500087,2010,"(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
131,500087,2011,"(5,10]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
132,500087,2012,"(5,10]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
133,500087,2013,"(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
134,500087,2014,"(5,10]","(0,5]","(0,5]","(5,10]","(5,10]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
135,500087,2015,"(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(10,15]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
136,500830,2011,"(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
137,500830,2012,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
138,500830,2013,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(10,15]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
139,500830,2014,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
140,500830,2015,"(0,5]","(5,10]","(0,5]","(10,15]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
141,531344,2010,"(0,5]","(5,10]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
142,531344,2011,"(0,5]","(0,5]","(0,5]","(0,5]","(15,20]","(0,5]","(10,15]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
143,531344,2013,"(0,5]","(0,5]","(0,5]","(0,5]","(10,15]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
144,531344,2014,"(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(15,20]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
145,531344,2015,"(0,5]","(5,10]","(0,5]","(5,10]","(5,10]",NA,"(0,5]","(5,10]","(5,10]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(10,15]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
146,526829,2010,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
147,526829,2011,"(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
148,526829,2012,"(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
149,526829,2013,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
150,526829,2014,"(5,10]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
151,526829,2015,"(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
152,500480,2010,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
153,500480,2011,"(0,5]","(5,10]","(0,5]","(15,20]","(0,5]",NA,"(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
154,500480,2012,"(0,5]","(5,10]","(0,5]","(15,20]","(5,10]","(10,15]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
155,500480,2013,"(0,5]","(15,20]","(0,5]","(10,15]","(5,10]","(5,10]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(10,15]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
156,500480,2014,"(5,10]","(5,10]","(0,5]","(0,5]","(5,10]","(10,15]","(0,5]","(0,5]","(10,15]","(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
157,500480,2015,"(5,10]","(5,10]","(0,5]","(0,5]","(5,10]","(10,15]","(10,15]","(0,5]","(5,10]","(5,10]","(0,5]","(10,15]","(10,15]","(5,10]","(0,5]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
158,500096,2010,"(10,15]","(0,5]","(0,5]","(15,20]","(5,10]","(10,15]","(5,10]","(5,10]","(10,15]","(0,5]","(0,5]","(5,10]","(10,15]","(15,20]","(0,5]","(10,15]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
159,500096,2011,"(5,10]","(15,20]","(0,5]","(5,10]","(5,10]","(10,15]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(10,15]","(15,20]","(15,20]","(0,5]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
160,500096,2012,"(5,10]","(10,15]","(0,5]","(10,15]","(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(5,10]","(15,20]","(0,5]","(0,5]","(0,5]","(5,10]","(5.28,10.5]","(5.28,10.5]","(5.28,10.5]"
161,500096,2013,"(5,10]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]",NA,"(0,5]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
162,500096,2014,"(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(10,15]","(0,5]","(10,15]","(5,10]","(5.28,10.5]","(5.28,10.5]","(5.28,10.5]"
163,500096,2015,"(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(5,10]",NA,"(5,10]",NA,"(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
164,532839,2010,"(5,10]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
165,532839,2011,"(5,10]","(0,5]","(0,5]","(10,15]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
166,532839,2012,"(0,5]","(0,5]","(5,10]",NA,"(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(10,15]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
167,532839,2013,"(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(10,15]","(5,10]","(10,15]","(0,5]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
168,532839,2014,"(0,5]","(0,5]","(5,10]",NA,"(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(5,10]","(15,20]","(15,20]","(10,15]","(5,10]","(15,20]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
169,532839,2015,"(0,5]","(5,10]","(5,10]",NA,"(0,5]","(10,15]","(5,10]","(0,5]","(0,5]","(0,5]","(10,15]","(15,20]","(10,15]","(5,10]","(10,15]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
170,532488,2010,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
171,532488,2011,"(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
172,532488,2012,"(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(10,15]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
173,532488,2013,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
174,532488,2014,"(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(10,15]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
175,532488,2015,"(0,5]","(0,5]","(0,5]","(15,20]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
176,500124,2011,"(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(10,15]","(5,10]","(0,5]","(0,5]","(10,15]","(10,15]","(0,5]",NA,"(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
177,500124,2012,"(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(10,15]","(5,10]","(0,5]","(5,10]","(0,5]","(5,10]","(5.28,10.5]","(5.28,10.5]","(5.28,10.5]"
178,500124,2013,"(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(15,20]","(0,5]","(0,5]","(10,15]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
179,500124,2014,"(0,5]","(0,5]","(0,5]","(0,5]","(10,15]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(15,20]","(10,15]","(0,5]","(0,5]","(10,15]","(10.5,15.6]","(10.5,15.6]","(10.5,15.6]"
180,500124,2015,"(0,5]","(0,5]","(0,5]","(0,5]","(10,15]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(5,10]","(5.28,10.5]","(5.28,10.5]","(5.28,10.5]"
181,505200,2010,"(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
182,505200,2011,"(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
183,505200,2012,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
184,505200,2013,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]",NA,"(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
185,505200,2014,"(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
186,500125,2010,"(5,10]","(5,10]","(0,5]","(10,15]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
187,500125,2011,"(5,10]","(5,10]","(0,5]","(10,15]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
